Date,Open,High,Low,Close,Volume
2013-01-02,63.72999954223633,64.69999694824219,63.56999969482422,64.56999969482422,524900
2013-01-03,64.36000061035156,64.62999725341797,63.310001373291016,63.369998931884766,666200
2013-01-04,63.529998779296875,64.5999984741211,63.400001525878906,64.58000183105469,330800
2013-01-07,64.22000122070312,64.87999725341797,64.01000213623047,64.5999984741211,321400
2013-01-08,64.51000213623047,64.69000244140625,63.529998779296875,63.66999816894531,429800
2013-01-09,64.25,65.4800033569336,63.97999954223633,65.33000183105469,749800
2013-01-10,65.41999816894531,65.69999694824219,63.939998626708984,64.69999694824219,704200
2013-01-11,64.56999969482422,64.63999938964844,63.709999084472656,64.16000366210938,417600
2013-01-14,63.47999954223633,64.16000366210938,63.349998474121094,63.58000183105469,423600
2013-01-15,63.18000030517578,64.01000213623047,63.099998474121094,63.79999923706055,451400
2013-01-16,63.25,63.25,62.15999984741211,62.470001220703125,771900
2013-01-17,63.0099983215332,63.630001068115234,62.81999969482422,63.459999084472656,598000
2013-01-18,63.54999923706055,63.56999969482422,62.779998779296875,63.22999954223633,458700
2013-01-22,63.29999923706055,64.72000122070312,62.54999923706055,64.19000244140625,638900
2013-01-23,64.16000366210938,64.18000030517578,63.349998474121094,63.560001373291016,505600
2013-01-24,63.720001220703125,64.12999725341797,62.869998931884766,63.5099983215332,469900
2013-01-25,63.88999938964844,64.20999908447266,63.04999923706055,64.20999908447266,353200
2013-01-28,64.12000274658203,64.26000213623047,63.5,64.0,330200
2013-01-29,64.18000030517578,65.19999694824219,64.05000305175781,64.68000030517578,407000
2013-01-30,64.62999725341797,65.0,63.849998474121094,64.13999938964844,394400
2013-01-31,64.08000183105469,65.02999877929688,64.0199966430664,64.72000122070312,453900
2013-02-01,65.38999938964844,65.94999694824219,64.83999633789062,65.6500015258789,461300
2013-02-04,64.83999633789062,65.1500015258789,64.08000183105469,64.30999755859375,371300
2013-02-05,64.43000030517578,64.9000015258789,64.0999984741211,64.69000244140625,439100
2013-02-06,68.0,71.37999725341797,68.0,70.25,2540500
2013-02-07,70.06999969482422,70.55999755859375,69.18000030517578,70.05999755859375,740300
2013-02-08,70.18000030517578,71.56999969482422,70.18000030517578,71.44000244140625,555700
2013-02-11,71.26000213623047,71.77999877929688,70.80999755859375,71.0,354400
2013-02-12,71.0,71.19999694824219,70.47000122070312,70.7699966430664,469700
2013-02-13,70.94999694824219,71.62999725341797,70.37999725341797,71.01000213623047,421000
2013-02-14,70.75,72.08000183105469,70.45999908447266,72.0,404100
2013-02-15,71.70999908447266,72.36000061035156,71.70999908447266,72.05000305175781,465200
2013-02-19,72.19999694824219,72.9000015258789,71.45999908447266,71.76000213623047,580000
2013-02-20,71.4000015258789,71.45999908447266,68.04000091552734,68.12999725341797,973600
2013-02-21,68.0,69.69999694824219,67.29000091552734,67.94000244140625,1103800
2013-02-22,68.29000091552734,68.58000183105469,67.43000030517578,68.19999694824219,458400
2013-02-25,68.36000061035156,68.56999969482422,65.08999633789062,65.0999984741211,1159500
2013-02-26,65.41999816894531,65.81999969482422,64.66000366210938,65.7300033569336,840200
2013-02-27,65.56999969482422,67.54000091552734,65.56999969482422,66.87999725341797,1000800
2013-02-28,66.83000183105469,67.45999908447266,66.58000183105469,66.58999633789062,650400
2013-03-01,65.55000305175781,66.27999877929688,64.87999725341797,65.87000274658203,774400
2013-03-04,65.58999633789062,65.95999908447266,64.80999755859375,65.61000061035156,552700
2013-03-05,66.94000244140625,68.87999725341797,65.95999908447266,66.04000091552734,607000
